State,Number to Generate,Type,Value
nm,1000,Street Address,660 CEDARDALE LP LAS CRUCES 
nm,1000,Street Address,1025 E CANADIAN ST PORTALES 
nm,1000,Street Address,3650.0 #205 MORNING STAR DR LAS CRUCES 
nm,1000,Street Address,4895.0 #1 PICACHO AVE FAIRACRES 
nm,1000,Street Address,609 ORTIZ DR NE ALBUQUERQUE 
nm,1000,Street Address,400 CENTERVILLE HWY AMISTAD 
nm,1000,Street Address,100 HIGHWAY 445 MAXWELL 
nm,1000,Street Address,101 RINCON DE TORREON SANTA FE 
nm,1000,Street Address,3429 SAN LUIS ST SANTA FE 
nm,1000,Street Address,5901 NE WINNIPEG LOOP NE RIO RANCHO 
nm,1000,Street Address,1279 SE VILLA DR SE RIO RANCHO 
nm,1000,Street Address,5023 EL PASEO DR NW ALBUQUERQUE 
nm,1000,Street Address,1711 ALISO DR NE ALBUQUERQUE 
nm,1000,Street Address,3825 LA PLAZA DR NW ALBUQUERQUE 
nm,1000,Street Address,3308 PAINTED ROCK DR NW ALBUQUERQUE 
nm,1000,Street Address,895 TRIBAL ROAD N7074 LAGUNA 
nm,1000,Street Address,1314 TRES RITOS ST SW ALBUQUERQUE 
nm,1000,Street Address,312 NM HIGHWAY 74 OHKAY OHWINGEH 
nm,1000,Street Address,58 DISHTA DR ZUNI 
nm,1000,Street Address,10504 MILKY WAY ST NW ALBUQUERQUE 
nm,1000,Street Address,7716 BRIAR RIDGE AVE NW ALBUQUERQUE 
nm,1000,Street Address,10315 SANDY RIDGE RD SW ALBUQUERQUE 
nm,1000,Street Address,4544 HOLIDAY BREEZE PL NE ALBUQUERQUE 
nm,1000,Street Address,7401 DERICKSON AVE NE ALBUQUERQUE 
nm,1000,Street Address,11716 SNOW HEIGHTS BLVD NE ALBUQUERQUE 
nm,1000,Street Address,3208 CARRASCO RD CARLSBAD 
nm,1000,Street Address,11 COTTONWOOD CIR ZUNI 
nm,1000,Street Address,1412 W ORCHARD LN CARLSBAD 
nm,1000,Street Address,209 E 3RD AVE TRUTH OR CONSEQUENCES 
nm,1000,Street Address,10505 CONSTITUTION AVE NE ALBUQUERQUE 
nm,1000,Street Address,405 SE VILLA VERDE DR SE RIO RANCHO 
nm,1000,Street Address,5.0 <Null> ROAD 6434 KIRTLAND 
nm,1000,Street Address,10404 WALKER DR NE ALBUQUERQUE 
nm,1000,Street Address,8118 SAN JUAN RD NE ALBUQUERQUE 
nm,1000,Street Address,1499 POND WOODS LN ANTHONY 
nm,1000,Street Address,5629 TIMBERLINE AVE NW ALBUQUERQUE 
nm,1000,Street Address,500 CORAL CT NW ALBUQUERQUE 
nm,1000,Street Address,2004 ANITA DR LAS CRUCES 
nm,1000,Street Address,209 E DAVIS ST HATCH 
nm,1000,Street Address,727 CHAVEZ RD NW ALBUQUERQUE 
nm,1000,Street Address,7501 LOMAS BLVD NE ALBUQUERQUE 
nm,1000,Street Address,17.0 22 MEADOWLAKE LOS LUNAS 
nm,1000,Street Address,12 ESQUINA RD SANTA FE 
nm,1000,Street Address,2562 DEL NORTE DR SW ALBUQUERQUE 
nm,1000,Street Address,410 CALLE BORREGO RIO ARRIBA COUNTY 
nm,1000,Street Address,19 WEAHKEE ST ZUNI 
nm,1000,Street Address,29 PINON COVE RD CEDAR CREST 
nm,1000,Street Address,1911 BINDEL ST CARLSBAD 
nm,1000,Street Address,2511 RANCHO SIRINGO DR SANTA FE 
nm,1000,Street Address,1613 N OAK ST ARTESIA 
nm,1000,Street Address,1764 STATE HIGHWAY 386 ANTON CHICO 
nm,1000,Street Address,8019 CAMILLE AVE NW ALBUQUERQUE 
nm,1000,Street Address,413 MAIN ST TRUTH OR CONSEQUENCES 
nm,1000,Street Address,222 DELGADO ST LAS VEGAS 
nm,1000,Street Address,41 PRIMERO LOS LUNAS 
nm,1000,Street Address,125 CHISUM BELEN 
nm,1000,Street Address,1902 TATUM HWY LOVINGTON 
nm,1000,Street Address,1423 CONCHAS ST NE ALBUQUERQUE 
nm,1000,Street Address,414 E BUCKEYE ST DEMING 
nm,1000,Street Address,420 EL MOLINO BLVD LAS CRUCES 
nm,1000,Street Address,1701 MORNINGSIDE DR NE ALBUQUERQUE 
nm,1000,Street Address,1205 ESPEJO RD SW RIO RANCHO 
nm,1000,Street Address,3829 NE BUCKSKIN LOOP NE RIO RANCHO 
nm,1000,Street Address,601 N FIFTH ST CARLSBAD 
nm,1000,Street Address,844 SILVERBERRY CIR SE ALBUQUERQUE 
nm,1000,Street Address,657 N FRANKLIN ST HATCH 
nm,1000,Street Address,1932 BUFFALO DANCER TRL NE ALBUQUERQUE 
nm,1000,Street Address,6028 TAURUS AVE NW ALBUQUERQUE 
nm,1000,Street Address,3905 N DUSTIN AVE FARMINGTON 
nm,1000,Street Address,5304 CHAPEL DR NW ALBUQUERQUE 
nm,1000,Street Address,85.0 <Null> ROAD 7730 FARMINGTON (NO DELIVERY) 
nm,1000,Street Address,521 CARLISLE BLVD NE ALBUQUERQUE 
nm,1000,Street Address,61.0 A TSE YAH TOH LOOP LP GALLUP 
nm,1000,Street Address,224 NIMITZ DR GRANTS 
nm,1000,Street Address,8709 ASPEN LEAF DR NE ALBUQUERQUE 
nm,1000,Street Address,5.0 <Null> ROAD 4381 BLANCO 
nm,1000,Street Address,622 CHARLES AVE TRUTH OR CONSEQUENCES 
nm,1000,Street Address,1255 CALLE PLACITAS BERNALILLO 
nm,1000,Street Address,217 E 1ST ST DEMING 
nm,1000,Street Address,722 SAN MATEO BLVD SE ALBUQUERQUE 
nm,1000,Street Address,25 COTTONWOOD LA PUEBLA 
nm,1000,Street Address,208 BERGQUIST PL NW ALBUQUERQUE 
nm,1000,Street Address,130 COUNTY ROAD 64 DIXON 
nm,1000,Street Address,26 WOOD BELEN 
nm,1000,Street Address,413 ARBOR PL NE ALBUQUERQUE 
nm,1000,Street Address,209 LAKESHORE DR CITY OF ELEPHANT BUTTE 
nm,1000,Street Address,46 LARIAT LOOP MORIARTY 
nm,1000,Street Address,2128 ROMERO ST LAS VEGAS 
nm,1000,Street Address,4001.0 1001 OFFICE COURT DR SANTA FE 
nm,1000,Street Address,303 S MEDINA RD CHAMBERINO 
nm,1000,Street Address,6216 MONTANO POINTE RD NW ALBUQUERQUE 
nm,1000,Street Address,10304 ROUND UP PL SW ALBUQUERQUE 
nm,1000,Street Address,74 COW MILL RD STANLEY 
nm,1000,Street Address,3200 UTAH ST NE ALBUQUERQUE 
nm,1000,Street Address,2 CAMINO DEL SUR EDGEWOOD 
nm,1000,Street Address,3311 NE ICARIAN CT NE RIO RANCHO 
nm,1000,Street Address,411 SQUAW TRL RUIDOSO 
nm,1000,Street Address,2015 SEA BREEZE ST NW ALBUQUERQUE 
nm,1000,Street Address,306 E GLENMARY DR AZTEC 
nm,1000,Street Address,9665 DE VARGAS LOOP NE ALBUQUERQUE 
nm,1000,Street Address,1903 NAJAR ST CARLSBAD 
nm,1000,Street Address,2001.0 372 HOPEWELL ST SANTA FE 
nm,1000,Street Address,9 YATSATTIE ROAD RD ZUNI 
nm,1000,Street Address,6 MUM ST HURLEY 
nm,1000,Street Address,705 SALT MISSIONS TRL MCINTOSH 
nm,1000,Street Address,844 COTTONWOOD CIR BERNALILLO 
nm,1000,Street Address,4621 12TH AVE SW RIO RANCHO 
nm,1000,Street Address,135.0 B APACHE HILLS DR RUIDOSO 
nm,1000,Street Address,107 TAMARACK RD RUIDOSO 
nm,1000,Street Address,1924 JARDIN RD SW RIO RANCHO 
nm,1000,Street Address,4316 NE CAYENNE RD NE RIO RANCHO 
nm,1000,Street Address,562 E AVENUE C FORT SUMNER 
nm,1000,Street Address,5064 NE SABUSCO CT NE RIO RANCHO 
nm,1000,Street Address,2329 E 16TH ST FARMINGTON 
nm,1000,Street Address,900.0 2103 CANNERY CT FARMINGTON 
nm,1000,Street Address,5716 NE CIBOLA DR NE RIO RANCHO 
nm,1000,Street Address,4604 TIERRA ENCANTADA CT NE ALBUQUERQUE 
nm,1000,Street Address,121 MARGARET ST CARLSBAD 
nm,1000,Street Address,3601 4TH ST NW ALBUQUERQUE 
nm,1000,Street Address,107 W 10TH ST PORTALES 
nm,1000,Street Address,217 SEDILLO HILL RD TIJERAS 
nm,1000,Street Address,820 JOHN DOE ST CLOVIS 
nm,1000,Street Address,3300 MOUNTAIN RD NE ALBUQUERQUE 
nm,1000,Street Address,505 ESTE ES RD RANCHOS DE TAOS 
nm,1000,Street Address,37 DON FILEMENO SANTA FE 
nm,1000,Street Address,5000 NE BULAWAYO RD NE RIO RANCHO 
nm,1000,Street Address,3524 11TH ST NW ALBUQUERQUE 
nm,1000,Street Address,24 KATARINA RD SANTA FE 
nm,1000,Street Address,54 KINGS ST LAS VEGAS 
nm,1000,Street Address,2626 GARFIELD AVE SE ALBUQUERQUE 
nm,1000,Street Address,5721 TEAKWOOD TRL NE ALBUQUERQUE 
nm,1000,Street Address,37 LOS PECOS LOOP TIJERAS 
nm,1000,Street Address,815 RIATA RD CARLSBAD 
nm,1000,Street Address,1126 CHEYENNE LOS ALAMOS 
nm,1000,Street Address,1201 CALLE LUNA SANTA FE 
nm,1000,Street Address,2829 NE SAMARKAND DR NE RIO RANCHO 
nm,1000,Street Address,8516 HAWK EYE RD NW ALBUQUERQUE 
nm,1000,Street Address,2702 E 30TH ST FARMINGTON 
nm,1000,Street Address,431 NM HIGHWAY 267 PORTALES 
nm,1000,Street Address,5850 CLIFF LN FAIRACRES 
nm,1000,Street Address,660 JAY ST GALLUP 
nm,1000,Street Address,5508 PAYSON CT NW ALBUQUERQUE 
nm,1000,Street Address,135 WILLOW RD NW ALBUQUERQUE 
nm,1000,Street Address,226 SIXTH ST MAXWELL 
nm,1000,Street Address,909 AVENIDA ESTRELLITA NE ALBUQUERQUE 
nm,1000,Street Address,2428 NE MANZANO LOOP NE RIO RANCHO 
nm,1000,Street Address,2409 BRIDLE GATE TRL SW ALBUQUERQUE 
nm,1000,Street Address,4619 NE OVERIDGE RD NE RIO RANCHO 
nm,1000,Street Address,9708 TRIANA PL NW ALBUQUERQUE 
nm,1000,Street Address,12128 DAN PATCH RD SE ALBUQUERQUE 
nm,1000,Street Address,3100 W PICACHO AVE LAS CRUCES 
nm,1000,Street Address,1270 CALLE LA MIRADA SANTA FE 
nm,1000,Street Address,7509 SAINT CLAIR ST NE ALBUQUERQUE 
nm,1000,Street Address,8 COPPER RIDGE DR SILVER CITY 
nm,1000,Street Address,4220 2ND ST NW ALBUQUERQUE 
nm,1000,Street Address,904 BELMONT DR SOCORRO 
nm,1000,Street Address,1371 NE PENASCO RD NE RIO RANCHO 
nm,1000,Street Address,408 SPRUCE ST NE ALBUQUERQUE 
nm,1000,Street Address,17441.0 <Null> US 550 AZTEC 
nm,1000,Street Address,10019 AVENIDA VISTA SOL NW ALBUQUERQUE 
nm,1000,Street Address,222 BROADWAY BLVD SE ALBUQUERQUE 
nm,1000,Street Address,3712 HIGHLAND VIEW DR FARMINGTON 
nm,1000,Street Address,5 BETHANY CT EDGEWOOD 
nm,1000,Street Address,401.0 34 N 26TH ST ARTESIA 
nm,1000,Street Address,2250.0 #6D MISSOURI AVE LAS CRUCES 
nm,1000,Street Address,7617 MAPLEWOOD DR NW ALBUQUERQUE 
nm,1000,Street Address,2328 E 11TH ST FARMINGTON 
nm,1000,Street Address,7112 ALAMILLO RD NW ALBUQUERQUE 
nm,1000,Street Address,1212 AVENUE J EUNICE 
nm,1000,Street Address,6913 WILDWOOD LN NE ALBUQUERQUE 
nm,1000,Street Address,124 CALLE OLAS ALTOS NE ALBUQUERQUE 
nm,1000,Street Address,1565 YAKIMA RD SW ALBUQUERQUE 
nm,1000,Street Address,30 V-HILL RD EDGEWOOD 
nm,1000,Street Address,1806 LAFAYETTE DR NE ALBUQUERQUE 
nm,1000,Street Address,7509 LOS LUNAS DR NE ALBUQUERQUE 
nm,1000,Street Address,8023 PETROGLYPH AVE NW ALBUQUERQUE 
nm,1000,Street Address,672 VISTA LEJOS LN SW ALBUQUERQUE 
nm,1000,Street Address,5782 BUTTE DR SANTA TERESA 
nm,1000,Street Address,1400 ROBERTS DR LAS CRUCES 
nm,1000,Street Address,5905 RIO VISTA DR SW ALBUQUERQUE 
nm,1000,Street Address,2446 PICACHO PEAK VIEW LAS CRUCES 
nm,1000,Street Address,16 OJAI VIEW GLORIETA 
nm,1000,Street Address,480.0 C COUNTY RD 84 SANTA FE 
nm,1000,Street Address,9999 NE SPINDRIFT RD NE RIO RANCHO 
nm,1000,Street Address,1103 S SANTA FE ST DEMING 
nm,1000,Street Address,1136 CASSANDRA ST SW ALBUQUERQUE 
nm,1000,Street Address,1871.0 #2 - 6 EL PRESIDIO DR LAS CRUCES 
nm,1000,Street Address,1013 MAVERICK CT SE ALBUQUERQUE 
nm,1000,Street Address,1123 N GILA DR HOBBS 
nm,1000,Street Address,767 56TH ST NW ALBUQUERQUE 
nm,1000,Street Address,838 GILMORE ST SANTA FE 
nm,1000,Street Address,802 FIRESTONE CT CARLSBAD 
nm,1000,Street Address,38 VIA PUNTO NUEVO SANTA FE 
nm,1000,Street Address,1211.0 <Null> NM 574 AZTEC 
nm,1000,Street Address,1824 FIVE POINTS RD SW ALBUQUERQUE 
nm,1000,Street Address,824 ALLISON DR LAS VEGAS 
nm,1000,Street Address,1008 S 6TH ST ARTESIA 
nm,1000,Street Address,1204 DON GASPAR AVE SANTA FE 
nm,1000,Street Address,9416 RIGEL ST ORGAN 
nm,1000,Street Address,227 BRAZOS DR SUNLAND PARK 
nm,1000,Street Address,42 PINE RIDGE DR LAS VEGAS 
nm,1000,Street Address,619 CHAVEZ ST LAS VEGAS 
nm,1000,Street Address,2627 PATRICK ST CARLSBAD 
nm,1000,Street Address,4206 RAVINE RD SANTA FE 
nm,1000,Street Address,3221 12TH AVE SW RIO RANCHO 
nm,1000,Street Address,295 EL BORDO RD SW DEMING 
nm,1000,Street Address,241 GUADALUPE ST RATON 
nm,1000,Street Address,2013 MUNICIPAL DR FARMINGTON 
nm,1000,Street Address,19 PRIVATE DRIVE 1516 SAN JUAN PUEBLO 
nm,1000,Street Address,18 HORSE SHOE DR RESERVE 
nm,1000,Street Address,3000.0 #3-84 MAJESTIC RIDGE LAS CRUCES 
nm,1000,Street Address,149 VALLE DURAN SANTA FE 
nm,1000,Street Address,6304 NE HAWK RD NE RIO RANCHO 
nm,1000,Street Address,16205 S HIGHWAY 28 LA MESA 
nm,1000,Street Address,2701 W GRAND AVE ARTESIA 
nm,1000,Street Address,5822 BAYWOOD ST SUNLAND PARK 
nm,1000,Street Address,26 ALDERETE PERALTA 
nm,1000,Street Address,1115.0 108 OCATE RD SANTA FE 
nm,1000,Street Address,3918 OLD SANTA FE TRL SANTA FE 
nm,1000,Street Address,1026 MAIN BELEN 
nm,1000,Street Address,275 BRYANT ST MESQUITE 
nm,1000,Street Address,1412 NE JEMEZ LOOP NE RIO RANCHO 
nm,1000,Street Address,80 BARCELONA AVE LOS ALAMOS 
nm,1000,Street Address,13004 CAMBRIDGE PL NE ALBUQUERQUE 
nm,1000,Street Address,12908 PUNTA DE VISTA PL NE ALBUQUERQUE 
nm,1000,Street Address,101 E 7TH ST PORTALES 
nm,1000,Street Address,203 BURKE DR GALLUP 
nm,1000,Street Address,509 NE 10TH ST NE RIO RANCHO 
nm,1000,Street Address,3618 RODEO LN SANTA FE 
nm,1000,Street Address,30 MOON RANCH RD TIJERAS 
nm,1000,Street Address,47 SNOWLINE RD CEDAR CREST 
nm,1000,Street Address,1409 EL SEGUNDO AVE NE ALBUQUERQUE 
nm,1000,Street Address,1011 E JACKSON RD HOBBS 
nm,1000,Street Address,1030 SR 76 RD ESPANOLA 
nm,1000,Street Address,1060 CERRILLOS RD SANTA FE 
nm,1000,Street Address,301 CORNELL DR NE ALBUQUERQUE 
nm,1000,Street Address,1128 MIMBRES ST SW ALBUQUERQUE 
nm,1000,Street Address,6085 MCKINNEY DR NE ALBUQUERQUE 
nm,1000,Street Address,1900.0 #108 N SOLANO DR LAS CRUCES 
nm,1000,Street Address,9 SANTO DOMINGO CIR SANTA FE 
nm,1000,Street Address,2220 S GOLD AVE DEMING 
nm,1000,Street Address,1904 LAKEVIEW RD SW ALBUQUERQUE 
nm,1000,Street Address,1191 STATE HIGHWAY 338 COTTON CITY 
nm,1000,Street Address,801 CAGUA DR SE ALBUQUERQUE 
nm,1000,Street Address,117 SANTO TOMAS ST MESQUITE 
nm,1000,Street Address,103 VALONIA LN RUIDOSO 
nm,1000,Street Address,56 UNK25 MAGDALENA 
nm,1000,Street Address,21 PRIVATE DRIVE 1613A ABIQUIU 
nm,1000,Street Address,1201 PLAIN ST LAS CRUCES 
nm,1000,Street Address,3624 NE NEOSHO LOOP NE RIO RANCHO 
nm,1000,Street Address,60 DON JACOBO LOS LUNAS 
nm,1000,Street Address,118 SILVA LN BERNALILLO 
nm,1000,Street Address,1005 2ND ST LAS VEGAS 
nm,1000,Street Address,558 CANYON RD SANTA FE 
nm,1000,Street Address,122 BONITA DR GUADALUPITA 
nm,1000,Street Address,7000 ELENA CT NE ALBUQUERQUE 
nm,1000,Street Address,9 ST JOSEPH DR MONTEZUMA 
nm,1000,Street Address,4670 RIVERWOOD RD DONA ANA 
nm,1000,Street Address,140 HIGH MEADOW LOOP EDGEWOOD 
nm,1000,Street Address,3016 NM HIGHWAY 605 CUBERO 
nm,1000,Street Address,6028 GRANDI RD CARLSBAD 
nm,1000,Street Address,88 CHISHOLM TRL SANTA FE 
nm,1000,Street Address,213 CAMINO LOS MILAGROS CORRALES 
nm,1000,Street Address,28 PRAIRIE SONG LN ARROYO SECO 
nm,1000,Street Address,1705 25TH ST SW RIO RANCHO 
nm,1000,Street Address,1025 FLORA DR SANTA FE 
nm,1000,Street Address,1708 NORTHERN BLVD RIO RANCHO 
nm,1000,Street Address,225 12TH ST NW RIO RANCHO 
nm,1000,Street Address,9999 NE PENTEL DR NE RIO RANCHO 
nm,1000,Street Address,51 KENDRICK BELEN 
nm,1000,Street Address,999 S TELSHOR BLVD LAS CRUCES 
nm,1000,Street Address,1712 E GRAND AVE CLOVIS 
nm,1000,Street Address,1013 VALLEY VIEW LOS LUNAS 
nm,1000,Street Address,65 MOYA RD SANTA FE 
nm,1000,Street Address,153 STATE ROAD 95 TIERRA AMARILLA 
nm,1000,Street Address,72 KENDRICK BELEN 
nm,1000,Street Address,3316 REINA DR NE ALBUQUERQUE 
nm,1000,Street Address,7516 REPUBLIC DR NE ALBUQUERQUE 
nm,1000,Street Address,432 CAPITAL LOS LUNAS 
nm,1000,Street Address,327 CASCABEL TRL SE ALBUQUERQUE 
nm,1000,Street Address,407 BRUGG BELEN 
nm,1000,Street Address,2509 WESTERN AVE FARMINGTON 
nm,1000,Street Address,2930 SAN DIEGO AVE SE ALBUQUERQUE 
nm,1000,Street Address,508 SE 19TH AVE SE RIO RANCHO 
nm,1000,Street Address,909.0 #4 ALIYAH RD DONA ANA 
nm,1000,Street Address,1025 LEE TREVINO BELEN 
nm,1000,Street Address,7609 CALHOUN DR NE ALBUQUERQUE 
nm,1000,Street Address,4017 DONALD RD SW ALBUQUERQUE 
nm,1000,Street Address,6 CAMINO ARTURO PECOS 
nm,1000,Street Address,717 PARQUE AVE MAXWELL 
nm,1000,Street Address,809 BACA ST SANTA FE 
nm,1000,Street Address,39 NORTH RD LAS VEGAS 
nm,1000,Street Address,694 CALLE ESPEJO SANTA FE 
nm,1000,Street Address,718 RANCHITOS RD NW ALBUQUERQUE 
nm,1000,Street Address,663 FOLSOM HWY DES MOINES 
nm,1000,Street Address,163 CENTRAL PARK SQ LOS ALAMOS 
nm,1000,Street Address,37 ROCK RIDGE DR NE ALBUQUERQUE 
nm,1000,Street Address,10424 BITTER CREEK DR NW ALBUQUERQUE 
nm,1000,Street Address,317 YUCCA DR NW ALBUQUERQUE 
nm,1000,Street Address,1413 27TH ST SW RIO RANCHO 
nm,1000,Street Address,3310 N NORTHWEST DR HOBBS 
nm,1000,Street Address,31 CHAPPARAL AVE CLOVIS 
nm,1000,Street Address,701 W 21ST ST CLOVIS 
nm,1000,Street Address,1603 JUDE BELEN 
nm,1000,Street Address,1701 CHAMISA LOS LUNAS 
nm,1000,Street Address,2185 WEBB RD DONA ANA 
nm,1000,Street Address,24 POWDERHORN RIDGE RD MIMBRES 
nm,1000,Street Address,1453 SE WILKES WAY SE RIO RANCHO 
nm,1000,Street Address,125 LANGLEY RD ESTANCIA 
nm,1000,Street Address,3228 N ROSS ST CLOVIS 
nm,1000,Street Address,1032 N PATE ST CARLSBAD 
nm,1000,Street Address,35 SADDLE MOUNTAIN RD ALBUQUERQUE 
nm,1000,Street Address,821 WILLOW SPRINGS RANCH RD MAGDALENA 
nm,1000,Street Address,5124.0 A AVENIDA DE SESARIO SANTA FE 
nm,1000,Street Address,500 N ISLAND ST BLOOMFIELD 
nm,1000,Street Address,4803 NE OVERIDGE RD NE RIO RANCHO 
nm,1000,Street Address,5015 CORDONIZ NW ALBUQUERQUE 
nm,1000,Street Address,224 NE PASEO VISTA LOOP NE RIO RANCHO 
nm,1000,Street Address,27 PRIVATE DRIVE 1118 DIXON 
nm,1000,Street Address,1 I-25 BYPASS BELEN 
nm,1000,Street Address,1116 CLEMENTE ST SW ALBUQUERQUE 
nm,1000,Street Address,3431 NE OASIS SPRINGS RD NE RIO RANCHO 
nm,1000,Street Address,7950.0 #2 JORNADA RD ORGAN 
nm,1000,Street Address,7816 ACADEMY TRL NE ALBUQUERQUE 
nm,1000,Street Address,2730 LOOKOUT AVE GALLUP 
nm,1000,Street Address,166 CORAL LN LAGUNA 
nm,1000,Street Address,2724 SE BAYAS RD SE RIO RANCHO 
nm,1000,Street Address,728 PASEO DEL PUEBLO NORTE TAOS 
nm,1000,Street Address,1 KALEB RD RANCHOS DE TAOS 
nm,1000,Street Address,9709 KARAK RD NE ALBUQUERQUE 
nm,1000,Street Address,1157.0 B STATE HIGHWAY 53 ZUNI 
nm,1000,Street Address,809 GALACIA ST SE ALBUQUERQUE 
nm,1000,Street Address,17 COUNTY ROAD A018 MORA 
nm,1000,Street Address,1720 AVENIDA CRISTO REY NW ALBUQUERQUE 
nm,1000,Street Address,0 SPRUCE DR RUIDOSO 
nm,1000,Street Address,0 NORTH ST BAYARD 
nm,1000,Street Address,1604 VILLA SANDIA RD NE ALBUQUERQUE 
nm,1000,Street Address,100 PACHECO RD CHAMISAL 
nm,1000,Street Address,1338 GIRARD BLVD NE ALBUQUERQUE 
nm,1000,Street Address,25039 US HWY 64 TAOS 
